code,parentCode,level,nb_name,name
8183,818,4,"Pakke-, tappe- og etikettmaskinoperatører","Packing, bottling and labelling machine operators"
8189,818,4,Andre stasjonære maskinoperatører,Stationary plant and machine operators not elsewhere classified
82,8,2,Montører,Assemblers
8211,821,4,Montører av mekaniske produkter,Mechanical machinery assemblers
8212,821,4,Montører av elektriske og elektroniske produkter,Electrical and electronic equipment assemblers
8219,821,4,Andre montører,Assemblers not elsewhere classified
83,8,2,Transportarbeidere og operatører av mobile maskiner mv.,Drivers and mobile plant operators
8311,831,4,Lokomotiv og T-baneførere,Locomotive engine drivers
8312,831,4,Skiftekonduktører mv,"Railway brake, signal and switch operators"
8322,832,4,"Bil-, drosje- og varebilførere","Car, taxi, van and motorcycle drivers"
8331,833,4,Bussjåfører og trikkeførere,Bus and tram drivers
8332,833,4,Lastebil- og trailersjåfører,Heavy truck and lorry drivers
8341,834,4,Jordbruks- og skogbruksmaskinførere,Mobile farm and forestry plant operators
8342,834,4,Anleggsmaskinførere,Earthmoving and related plant operators
8343,834,4,Kran- og heisførere mv.,"Crane, hoist and related plant operators"
8344,834,4,Truckførere,Lifting truck operators
8350,835,4,Dekks- og maskinmannskap (skip),Ships¿ deck crew and related workers
91,9,2,Renholdere mv.,Cleaners and helpers
9111,911,4,Renholdere i private hjem,Domestic cleaners and helpers
9112,911,4,Renholdere i virksomheter,"Cleaners and helpers in offices, hotels and other local kinds of activity units"
9122,912,4,Bilvaskere,Vehicle cleaners
9123,912,4,Vinduspussere,Window cleaners
9129,912,4,Andre rengjørere,Other cleaning workers
92,9,2,"Hjelpearbeidere i jordbruk, skogbruk og fiske","Agricultural, forestry and fishery labourers"
9211,921,4,Hjelpearbeidere i nyttevekstproduksjon,Crop farm labourers
9212,921,4,Hjelpearbeidere i husdyrproduksjon,Livestock farm labourers
9213,921,4,Hjelpearbeidere i kombinasjonsbruk,Mixed crop and livestock farm labourers
9214,921,4,Hjelpearbeidere i gartneri mv.,Garden and horticultural labourers
9215,921,4,Hjelpearbeidere i skogbruk,Forestry labourers
9216,921,4,Hjelpearbeidere innen havbruk,Fishery and aquaculture labourers
93,9,2,"Hjelpearbeidere i bergverk, industri, bygg og anlegg og transport","Labourers in mining, construction, manufacturing and transport"
9311,931,4,Hjelpearbeidere i bergverk,Mining and quarrying labourers
9312,931,4,Hjelpearbeidere i anlegg,Civil engineering labourers
9313,931,4,Hjelpearbeidere i bygg,Building construction labourers
9321,932,4,Håndpakkere mv.,Hand packers
9329,932,4,Andre hjelpearbeidere i industri,Manufacturing labourers not elsewhere classified
9331,933,4,Førere av ikke-motorisert kjøretøy,Hand and pedal vehicle drivers
9333,933,4,Laste- og lossearbeidere,Freight handlers
9334,933,4,Varepåfyllere,Shelf fillers
94,9,2,Kjøkkenassistenter,Food preparation assistants
9412,941,4,Kjøkkenassistenter,Kitchen helpers
95,9,2,Reklamedistributører mv.,Street and related service workers
